OBJ.VEGOBJEKT-ID;EGS.BRUKSOMRÅDE.1256;EGS.PRIMÆRAKTIVITET.1824;EGS.SIKTFORHOLD.12051;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;LOK.FYLKE;VSR.VEGSYSTEMREFERANSE;ÅDT, total;ÅDT, andel lange kjøretøy;Fartsgrense;Avkjørsel, holdningsklasse;Funksjonsklasse;Avkjørsler;Trafikkulykker;Kurvatur, horisontalelement;Kurvatur, stigning
1025200302;Bolig;3-5 leiligheter;4x45 meter;25/15092;25.08.2025;https://telemarkfylke.pj.360online.com/Journal/SearchRelated?caseYear=2025&sequenceNumber=15092&documentNumber=1#caseDocument_2025-15092-1;Utvidet bruk;25.08.2025;;;Privat;Privat;;Kragerø;4014;Telemark;FV3362 S1D1 m2019;180;21;50;;C - Lokale hovedveger;4;3;99999;5.3
1022241354;Service;;6x54 meter;24/23230;22.01.2025;https://telemarkfylke.pj.360online.com/Journal/SearchSimple?searchstring=24%2F23230;Midlertidig tillatelse;18.02.2025;31.12.2025;;Privat;Privat;;Kragerø;4014;Telemark;FV363 S4D1 m5282;791;9;80;;C - Lokale hovedveger;3;4;100;3.1
1022241350;Service;;6x54 meter;24/23230;22.01.2025;https://telemarkfylke.pj.360online.com/Journal/SearchSimple?searchstring=24%2F23230;Midlertidig tillatelse;18.02.2025;31.12.2025;;Privat;Privat;;Kragerø;4014;Telemark;FV363 S4D1 m4738;791;9;80;;C - Lokale hovedveger;2;4;99999;-0.2
1019527379;Gardsbruk;1 gardsbruk i drift;;24/17212;03.07.2024;;Utvidet bruk;25.07.2024;;;Privat;Privat;;Kragerø;4014;Telemark;FV38 S3D1 m1109;935;8;80;;B - Regionale hovedveger;0;6;99999;0.6
1019512652;Skog/skogbruk;Tømmeropplagring/velteplass;;24/16569;18.06.2024;;Varig tillatelse;18.07.2024;;;Privat;Privat;;Midt-Telemark;4020;Telemark;FV360 S4D1 m3091;2470;14;80;;B - Regionale hovedveger;0;4;99999;-6.5
1024601802;Bolig;1-2leiligheter;;25/12586;23.06.2025;https://telemarkfylke.pj.360online.com/Journal/SearchRelated?caseYear=2025&sequenceNumber=12586&documentNumber=2#caseDocument_2025-12586-2;Varig tillatelse;11.07.2025;;;Privat;Privat;;Seljord;4022;Telemark;FV3422 S2D1 m8548;481;11;60;;C - Lokale hovedveger;0;0;99999;2.5
1019420725;Fritidsaktivitet;;; 24/16137-2;10.06.2024;;Varig tillatelse;05.07.2024;;;Privat;Privat;;Hjartdal;4024;Telemark;FV3420 S1D1 m2677;352;13;60;;C - Lokale hovedveger;0;2;99999;1.9
1019512655;Industri;;;24/10527;25.03.2024;;Utvidet bruk;16.07.2024;;;Privat;Privat;;Hjartdal;4024;Telemark;FV3430 S1D1 m7891;579;13;80;;C - Lokale hovedveger;0;0;99999;8.0
1019512664;Industri;;;24/10527;25.03.2024;;Utvidet bruk;16.07.2024;;;Privat;Privat;;Hjartdal;4024;Telemark;FV3430 S2D1 m2773;579;13;80;;C - Lokale hovedveger;2;7;-98;2.0
1019512659;Industri;;;24/10527;25.03.2024;;Varig tillatelse;16.07.2024;;;Privat;Privat;;Hjartdal;4024;Telemark;FV3430 S2D1 m2862;579;13;80;;C - Lokale hovedveger;2;7;99999;2.0
1024601678;Hytte;1-2 hytter;;25/12740;18.06.2025;https://telemarkfylke.pj.360online.com/Journal/SearchRelated?caseYear=2025&sequenceNumber=12740&documentNumber=1#caseDocument_2025-12740-1;Utvidet bruk;11.07.2025;;;Privat;Privat;;Hjartdal;4024;Telemark;FV3430 S2D1 m3665;579;13;80;;C - Lokale hovedveger;0;1;99999;0.0
1024601825;Bolig;;;25/12478;12.06.2025;https://telemarkfylke.pj.360online.com/Journal/SearchRelated?caseYear=2025&sequenceNumber=12478&documentNumber=1#caseDocument_2025-12478-1;Utvidet bruk;11.07.2025;;;Privat;Privat;;Tinn;4026;Telemark;FV2814 S1D1 m2949;600;9;80;;C - Lokale hovedveger;0;1;99999;4.3
1019512561;Service;;;24/17049;28.06.2024;;Utvidet bruk;15.07.2024;;;Privat;Privat;;Fyresdal;4032;Telemark;FV3384 S3D1 m6424;100;10;80;;D - Lokale samleveger;0;0;-145;-1.3
1019279152;Service;;;24/15350;09.06.2024;;Utvidet bruk;18.06.2024;;;Privat;Privat;;Vinje;4036;Telemark;FV3408 S3D1 m5762;200;12;80;;D - Lokale samleveger;0;0;-124;-5.1
1019279153;Bolig;1 gardsbruk i drift;4x105 m;24/14440;01.05.2024;;Varig tillatelse;09.06.2024;;;Privat;Privat;;Vinje;4036;Telemark;FV3416 S1D1 m5372;120;9;80;;E - Lokale adkomstveger;0;1;-115;5.0
1022432693;Bolig;1-2leiligheter;;;13.03.2025;;Varig tillatelse;25.03.2025;;;Privat;Privat;;Arendal;4203;Agder;KV31410 S1D1 m109;;;30;;;0;0;;
1019050590;Bolig;;;2023/84851;23.11.2023;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/213438/registryEntries/814962/view/documents/1529688/preview;Utvidet bruk;11.04.2024;11.04.2027;;;;;Bergen;4601;Vestland;FV546 S1D1 m6357;2500;9;50;Streng;C - Lokale hovedveger;1;8;169;6.0
1019530348;Bolig;;;2024/29505;28.05.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/246580 ;Varig tillatelse;28.06.2024;;;Privat;Privat;;Bergen;4601;Vestland;FV5164 S1D1 m3493;2000;8;50;Mindre streng;D - Lokale samleveger;0;4;86;-0.2
1021405957;Skole/Barnehage;;;2023/77481;17.10.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/206034/registryEntries/1005836/view/documents/1888737/preview;Utvidet bruk;22.10.2024;;;;;;Bergen;4601;Vestland;PV33196 S32D1 m6;;;50;;;0;0;;
1019636591;Forretning;1 gardsbruk i drift;;2024/23269;15.07.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/240331 ;Utvidet bruk;13.08.2024;;;Fylkeskommune;Privat;;Bergen;4601;Vestland;PV33490 S24D1 m4;;;30;;;0;0;;
1021405958;Bolig;;;2023/86670;31.10.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/215258/registryEntries/1041415/view/documents/1959062/preview;Utvidet bruk;02.12.2024;;;;;;Bergen;4601;Vestland;PV32570 S4D1 m6;;;30;;;0;0;;
1019791876;Bolig;> 10 leiligheter;;2024/28682;25.05.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/245757 ;Utvidet bruk;29.08.2024;;;Privat;Privat;;Bergen;4601;Vestland;FV5188 S1D1 m1370;2100;8;50;Streng;D - Lokale samleveger;0;0;99999;-0.3
1020027495;Bolig;> 10 leiligheter;;2022/88853;13.10.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/118191 ;Avslag etter klage;09.06.2023;;;Fylkeskommune;;;Bergen;4601;Vestland;PV21528 S7D1 m1;;;30;;;0;0;;
1017138098;Naust;;;2022/93844;09.11.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/123198/registryEntries/321459/view/documents/646800/preview;Varig tillatelse;09.12.2022;09.12.2025;Flytte eksisterande avkøyrsle til å nytte felles avkøyrsle;Privat;Privat;;Kinn;4602;Vestland;FV5715 S1D1 m1891;1400;8;40;Streng;D - Lokale samleveger;1;5;56;-2.0
1016400055;Bolig;;;2022/73386;21.09.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/102635/registryEntries/266249/view/documents/542512/preview;Utvidet bruk;29.09.2022;;Tidlegare fritidsbustad;Privat;Privat;;Etne;4611;Vestland;FV5020 S1D1 m690;260;8;50;Mindre streng;E - Lokale adkomstveger;1;0;99999;8.0
1022493124;Gardsbruk;2-3 gardsbruk i drift;;2025/33072;15.04.2025;;Varig tillatelse;22.04.2025;22.04.2028;;;Privat;;Etne;4611;Vestland;FV5018 S1D1 m6359;200;10;80;Mindre streng;E - Lokale adkomstveger;0;0;99999;3.4
1019281670;Hytte;Parkering;God ;24/20900;21.03.2024;;Utvidet bruk;27.05.2024;27.05.2027;oppgradering av eks avkjørsle til ny parkeringsplass;Privat;Privat;;Etne;4611;Vestland;FV5014 S1D1 m5244;500;5;80;Mindre streng;D - Lokale samleveger;1;0;-2068;-1.0
1019281669;Naust;1-2 hytter;;24/20900;21.03.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/237960/registryEntries/861330/view/documents/1613179/preview;Midlertidig tillatelse;27.05.2024;27.05.2027;1. Anleggsavkjørsle og så 2. gangtilkomst;Privat;Privat;;Etne;4611;Vestland;FV5014 S1D1 m5242;500;5;80;Mindre streng;D - Lokale samleveger;1;0;-2068;-1.0
1025432380;Bolig;1-2leiligheter;;25/55480;16.10.2025;;Utvidet bruk;21.10.2025;;;Privat;Privat;;Etne;4611;Vestland;PV1005 S6D1 m2;;;50;;;0;0;;
1019281671;Gardsbruk;Beiteområde/dyrehold;;24/28245;08.06.2024;;Utvidet bruk;17.06.2024;17.06.2027;lite utvida bruk / bygg til forlager ;Privat;Privat;;Etne;4611;Vestland;FV548 S1D1 m2239;650;11;80;Streng;C - Lokale hovedveger;1;0;99999;8.1
1019158821;Skog/skogbruk;Tømmeropplagring/velteplass;;24/26267;02.05.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/243339/registryEntries/844630/view/documents/1582010/preview;Varig tillatelse;08.05.2024;;;Privat;Privat;;Etne;4611;Vestland;FV548 S1D1 m2810;650;11;80;Streng;C - Lokale hovedveger;1;2;-99;-5.7
1025229391;Dyrkamark/jordbruk;1 gardsbruk i drift;;25/8555;21.03.2025;;Varig tillatelse;24.03.2025;;Statnett skal nytte avkøyrsla til riggplass før den blir permanent til landbruk;Privat;Privat;;Etne;4611;Vestland;FV548 S1D1 m4710;650;11;80;Streng;C - Lokale hovedveger;0;1;99999;-1.5
1022248699;Gardsbruk;Nedlagt gardsbruk;110 meter i begge retninger;2025/2148;17.01.2025;;Utvidet bruk;18.02.2025;18.02.2028;Statnett utvider avkjøring for tilkomst bygging ny kraftlinje, ferdig 2028 ;Privat;Privat;;Etne;4611;Vestland;FV548 S1D1 m5215;650;11;80;Streng;C - Lokale hovedveger;1;2;-285;-4.3
1018054684;Bolig;;;23/59331;24.04.2023;;Utvidet bruk;04.10.2023;04.10.2026;;Privat;Privat;;Etne;4611;Vestland;FV5014 S2D1 m12414;500;5;80;Mindre streng;D - Lokale samleveger;0;1;-41;2.0
1024500578;Gardsbruk;;;2025/42080;06.06.2025;;Utvidet bruk;17.06.2025;;;Privat;Privat;;Etne;4611;Vestland;PV1089 S1D1 m1;;;50;;;0;0;;
1018171053;Hytte;1-2 hytter;;2023/79240;27.10.2023;;Utvidet bruk;30.10.2023;30.10.2026;;Privat;;;Etne;4611;Vestland;PV1005 S79D1 m2;;;50;;;0;0;;
1017170408;;;;2022/98202;19.12.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/127596  ;Utvidet bruk;04.01.2023;;;;;;Sveio;4612;Vestland;FV4984 S1D1 m10024;600;8;60;Mindre streng;E - Lokale adkomstveger;1;1;122;-3.9
1019281729;;;;2022/20466;21.02.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/49396/registryEntries/164469/view/documents/288775/preview;Avslag;14.06.2022;;;;;;Sveio;4612;Vestland;FV4984 S1D1 m9161;600;8;60;Mindre streng;E - Lokale adkomstveger;0;0;-164;3.3
1016358172;Bolig;;;2022/85353;16.09.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/114647 ;Utvidet bruk;22.09.2022;;;Privat;;;Bømlo;4613;Vestland;FV4996 S1D1 m4737;500;9;80;Mindre streng;D - Lokale samleveger;0;0;99999;-6.7
1016520421;Bolig;;;2022/90024;13.10.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/119364 ;Utvidet bruk;31.10.2022;;;;;;Bømlo;4613;Vestland;FV5002 S1D1 m816;1400;7;50;Lite streng;D - Lokale samleveger;0;4;249;-5.9
1017138096;Bolig;;;2022/48634;29.03.2022;;Varig tillatelse;28.11.2022;;70 meter nord, 100 meter sør;Privat;Privat;;Tysnes;4616;Vestland;FV5086 S2D1 m1014;400;8;80;Lite streng;D - Lokale samleveger;1;1;99999;-6.2
1017284953;Hytte;1-2 hytter;;2023/29545;16.01.2023;;Varig tillatelse;02.02.2023;;;Privat;Privat;;Tysnes;4616;Vestland;FV5086 S3D1 m2638;350;10;80;Lite streng;D - Lokale samleveger;1;0;142;2.6
1017532413;Hytte;1-2 hytter;;2023/40141;08.03.2023;;Utvidet bruk;21.03.2023;;;Privat;Privat;;Tysnes;4616;Vestland;FV5080 S1D10 m1019;100;10;80;Lite streng;E - Lokale adkomstveger;1;0;-38;5.9
1017153329;Bolig;;;2022/91040;01.12.2022;;Utvidet bruk;16.12.2022;;;Privat;Privat;;Tysnes;4616;Vestland;FV549 S6D1 m1345;600;10;60;Streng;C - Lokale hovedveger;1;1;99999;-4.6
1021033969;Skog/skogbruk;Nedlagt gardsbruk;;24/53003;11.09.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/270103/registryEntries/1012325/view/documents/1901231/preview;Midlertidig tillatelse;28.10.2024;28.10.2027;Bruk er med traktor og tilhenger ca 2 g pr dag i vinter;Privat;Privat;;Ullensvang;4618;Vestland;FV5099 S2D1 m718;60;9;80;Lite streng;E - Lokale adkomstveger;0;1;71;2.1
1017494048;Forretning;Liten forretning;God;23/97213;22.02.2023;;Utvidet bruk;14.03.2023;;Fleirfunksjonell driftsbygg med ciderprod. servering og overnatting;Privat;Privat;;Ullensvang;4618;Vestland;FV5092 S1D1 m1308;160;8;40;Lite streng;E - Lokale adkomstveger;0;0;127;1.5
1017639281;Bolig;1-2leiligheter;Bra ;23/60446;04.05.2023;;Varig tillatelse;09.05.2023;;Eks avkøyrsle stengt;Privat;Privat;;Ullensvang;4618;Vestland;FV5099 S1D1 m410;140;9;50;;E - Lokale adkomstveger;0;0;273;-2.2
1016358175;Industri;;;2022/84929;14.09.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/114217/registryEntries/257203/edit;Utvidet bruk;19.09.2022;;;Privat;Privat;;Ullensvang;4618;Vestland;FV5098 S1D1 m8161;100;9;50;Lite streng;E - Lokale adkomstveger;1;2;93;3.1
1016358174;Industri;;;2022/84937;14.09.2022;;Utvidet bruk;19.09.2022;;;Privat;Privat;;Ullensvang;4618;Vestland;FV5098 S1D1 m5710;100;9;80;Lite streng;E - Lokale adkomstveger;1;0;348;6.9
1019184679;Dyrkamark/jordbruk;1 gardsbruk i drift;;24/27215;08.05.2024;;Utvidet bruk;16.05.2024;16.05.2027;;Privat;Privat;;Ullensvang;4618;Vestland;PV99989 S1D1 m1;150;10;50;;;0;0;99999;-4.1
1016091969;Hytte;1-2 hytter;;2022/40996;11.03.2022;;Utvidet bruk;15.08.2022;15.08.2025;;Privat;Privat;;Ullensvang;4618;Vestland;FV550 S6D1 m2641;300;10;80;Mindre streng;C - Lokale hovedveger;2;1;901;3.2
1016584699;Naust;Parkering;;2022/8469;03.11.2022;;Utvidet bruk;16.11.2022;;Eksisterande avkøyrsle er god. fjerne tre i sikt;Privat;Privat;;Ullensvang;4618;Vestland;FV550 S4D1 m1447;628;13;60;Streng;C - Lokale hovedveger;0;2;-464;2.4
1019530343;Bolig;> 10 leiligheter;;24/32226;20.06.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/249305/registryEntries/898583/view/documents/1678671/preview;Varig tillatelse;26.06.2024;;;Privat;Privat;;Ullensvang;4618;Vestland;FV550 S5D1 m6176;300;10;80;Mindre streng;C - Lokale hovedveger;0;0;42;6.9
1015618099;Industri;;;22/60258;03.06.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/89433/registryEntries/181635/view/documents/316408/preview;Utvidet bruk;16.06.2022;16.06.2025;Tilkomst til lagringsplass Hardanger fjordfrukt;Privat;Privat;;Ullensvang;4618;Vestland;FV550 S5D1 m1193;300;10;80;Mindre streng;C - Lokale hovedveger;4;1;682;6.4
1017760410;Bolig;1-2leiligheter;;2023/63392;16.06.2023;;Utvidet bruk;20.06.2023;20.06.2026;;Privat;Privat;;Voss;4621;Vestland;FV5404 S1D1 m1525;100;10;80;Lite streng;E - Lokale adkomstveger;0;0;99999;2.1
1018189119;Naust;Parkering;;2023/79592;06.10.2023;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/registryEntries/616712 ;Varig tillatelse;01.11.2023;;;Privat;Privat;;Austevoll;4625;Vestland;FV5138 S1D1 m1955;1200;7;50;Lite streng;D - Lokale samleveger;0;3;-104;-2.0
1016402775;Hytte;;;2022/84055;11.09.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/113337 ;Utvidet bruk;07.10.2022;;;Privat;;;Øygarden;4626;Vestland;FV5222 S1D1 m4408;600;7;50;Mindre streng;E - Lokale adkomstveger;0;0;346;-3.0
1016358173;Naust;;;2022/62215;07.06.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/91402 ;Utvidet bruk;12.09.2022;;Gjelder for 124/5;Privat;;;Øygarden;4626;Vestland;FV5222 S1D1 m2253;800;7;50;Mindre streng;E - Lokale adkomstveger;2;1;69;-10.8
1018054686;Bolig;;;2022/5483;23.08.2023;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/34292/registryEntries/518682/view/documents/1000527/preview;Avslag etter klage;;;Lang sakshistorikk - Søkt flere ganger, fått avslag, klage ikke tatt til følge. ;;;;Askøy;4627;Vestland;PV1194 S7D1 m4;;;50;;;0;0;;
1017988495;Bolig;3-5 leiligheter;;2022/98820 og 2021/16433;23.12.2022;;Utvidet bruk;10.01.2023;10.01.2026;Avkjørsel skal opparbeides i tråd med plan;;;;Askøy;4627;Vestland;PV1283 S1D1 m5;;;50;;;0;0;;
1018054687;Bolig;;;2023/74560;30.08.2023;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/cases/203092 ;Utvidet bruk;28.09.2023;;Utvida bruk - Inntil 2 bueiningar ;;;;Askøy;4627;Vestland;PV1153 S71D1 m2;;;50;;;0;0;;
1017170409;;;;2022/94587;16.11.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632/#nav=/locator/registryEntries/326416 ;Utvidet bruk;16.12.2022;;;;;;Askøy;4627;Vestland;FV563 S1D1 m5911;4800;7;50;Mindre streng;C - Lokale hovedveger;2;9;;
1021157575;Bolig;3-5 leiligheter;;2023/29659;11.01.2023;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632?#nav=/cases/157990/registryEntries/878293/view/documents/1641815/preview;Utvidet bruk;28.06.2024;;Løyve på vilkår;;;;Askøy;4627;Vestland;PV95349 S1D1 m2;;;50;;;0;0;;
1021157574;Bolig;;;2024/33343;26.06.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632?#nav=/cases/250429/registryEntries/920540/view/documents/1717558/preview;Endret bruk;29.07.2024;;Søknad gjeld frådeling, vert ikkje utvida bruk;;;;Osterøy;4630;Vestland;FV5422 S1D10 m1127;260;6;50;Lite streng;D - Lokale samleveger;0;6;202;-4.2
1021206023;Hytte;;;2024/58291;22.10.2024;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/275414/registryEntries/1008760/view/documents/1894265/preview;Utvidet bruk;21.11.2024;;Fått løyve i 1989, ikkje bygd den gong, men i 2024. Har derfor fått eit oppdatert løyve ;;;;Osterøy;4630;Vestland;PV1006 S133D1 m1;;;50;;;0;0;;
1019281732;Bolig;;;2023/74046;27.08.2023;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/202578/registryEntries/599821/view/documents/1158724/preview;Utvidet bruk;28.09.2023;;;;;;Alver;4631;Vestland;FV5308 S1D1 m5412;400;8;50;Mindre streng;E - Lokale adkomstveger;0;1;99999;7.2
1019281727;Bolig;;;2023/68990;06.11.2023;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/197497/registryEntries/667865/view/documents/1262550/preview;Utvidet bruk;07.12.2023;;Tiltak ikkje utført enda.;;;;Alver;4631;Vestland;FV5452 S1D1 m107;917;7;40;Mindre streng;E - Lokale adkomstveger;0;2;-106;-7.3
1019281679;Bolig;;;;17.12.2023;;Endret bruk;11.01.2024;;;;;;Alver;4631;Vestland;PV2150 S1D1 m1;;;50;;;0;0;;
1019281690;;;;2022/70132;21.10.2022;https://prod01.elementscloud.no/elements/rm/821311632_PROD-821311632#nav=/cases/99367/registryEntries/300046/view/documents/607334/preview;Endret bruk;10.11.2022;;Frå fritidsbustad til heilårsbustad.;;;;Alver;4631;Vestland;PV97788 S1D1 m1;;;30;;;0;0;;
